,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
234,Tecno Pova 7 5G,Hawaiian Blue,REDMI,256,"40,999",32999,40
235,Samsung Galaxy S24 5G Snapdragon,Black Diamond,REDMI,128,"42,999",36999,19
236,MOTOROLA Edge 60 Pro,Sparkle Purple,SIA,256,"12,999",11999,30
237,MOTOROLA Edge 60 Pro,Starry Black,realme,512,"9,999",7299,8
238,realme P3 Lite 5G Charger in the Box,Titanium,realme,128,"14,999",10824,13
239,MOTOROLA g05,Ultramarine,MOTOROLA,64,"14,999",11875,22
240,Redmi 14C 5G,Midnight Blue,POCO,128,"17,999",13180,27
241,Realme Narzo 80 Lite 5G,Orchid Pink,MOTOROLA,128,"17,999",12984,40
242,redmi 13 5G,Midnight Blue,Tecno,128,"1,799",934,38
243,redmi 13 5G,Speed Blue,Samsung,128,"10,999",8784,26
244,,Speed Blue,MOTOROLA,,"10,999",8784,25
245,REDMI A4,Carbon Black,MOTOROLA,64,"17,499",14604,26
246,Redmi A4,Marble White,realme,64,"17,499",14604,29
247,IQOO Z10X 5G,Starry Black,MOTOROLA,128,"1,899",924,15
248,IQOO Z10X 5G,Mystique White,,128,"18,999",9620,13
249,,Pink,,,"17,999",13180,3
250,HMD Crest 5G,Dynamic Grey,,128,"18,999",10484,28
251,REDMI 13 5G,Nitro Blue,,128,"17,999",17984,24
252,hmd Crest 5G,Speed Blue,Redmi,128,"15,999",15984,25
253,realme Narzo 50,Speed Blue,Realme,128,"2,099",1253,28
254,realme Narzo 50,Blazing Black,redmi,64,"2,099",1282,15
255,,Green,redmi,,"16,999",13999,26
256,,Navy,Micromax,,"36,999",21999,12
257,POCO M7 Plus 5G,Velvet Black / Black,REDMI,128,"11,999",9623,12
258,OPPO F29 Pro 5G,Lit Violet,Redmi,256,"19,999",13999,21
259,REDMI A4,Nitro Blue,IQOO,128,"59,900",54900,13
260,REDMI Note 14 SE 5G,Blaze Gold,IQOO,128,"21,999",18999,11
261,Apple iPhone 15,Marble Sands,Micromax,128,"16,999",13199,10
262,Tecno Pova 7 Pro 5G,Bahama Blue,HMD,128,"17,999",17984,16
263,realme Narzo 90x 5G,Starlight Blue,REDMI,128,"15,999",15984,11
264,realme Narzo 50,Stargaze Black,hmd,128,"15,499",11175,40
265,realme Narzo 50,Granite Black,realme,64,"2,099",1253,10
266,SAMSUNG M06 5G,Blaze Gold,realme,128,"2,099",1282,11
267,,Forest Green,Micromax,,"12,999",9499,11
268,,Guava Red,Micromax,,"99,999",74999,40
269,Ai+ Nova 5G,Black,POCO,128,"22,999",16890,39
270,Samsung Galaxy S25 Plus 5G,Pantone Shadow,OPPO,256,"15,499",10999,16
271,Samsung M36 5G,Astral Trail,REDMI,128,"32,999",27999,7
272,Samsung Galaxy F06 5G,Nebula Noir,REDMI,128,"36,999",31999,18
273,vivo T4 Pro 5G,IceSense Blue,Apple,128,"34,999",33635,10
274,vivo T4 Pro 5G,Obsidian Black,Tecno,256,"13,999",9999,13
275,OnePlus Nord 5 5G,Forge Red,realme,256,"14,999",11257,11
276,Samsung Galaxy F06 5G,Graphite,,128,"13,999",10402,11
277,REDMI 14C 5G,Marine Drift,,128,"32,999",23690,29
