,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
517,realme Narzo 80 Lite 4G,Raging Blue,Redmi,64,"15,499",15484,23
518,realme Narzo 80 Lite 4G,MoonKnight Titanium,REDMI,128,"11,999",10982,16
519,IQOO Z10X 5G,MoonKnight Titanium,Micromax,256,"10,999",10484,13
520,IQOO Z10X 5G,Raging Blue,Lava,128,"13,999",13984,19
521,IQOO Z10X 5G,Purple,SAMSUNG,128,"17,999",17984,11
522,IQOO Z10X 5G,Midnight,Micromax,256,"17,999",17984,21
523,SAMSUNG M06 5G,Midnight,hmd,128,"13,999",13984,7
524,Lava Blaze Dragon 5G,Midnight,,128,"13,999",13984,12
525,Lava Blaze Dragon 5G,Blue,,128,"14,999",10204,32
526,Redmi 14C 5G,Green,Micromax,128,"13,999",9463,12
527,REDMI 13 5G,Blue,Micromax,128,"13,999",9415,11
528,REDMI 13 5G,Red,realme,128,"12,999",10185,23
529,SAMSUNG M06 5G,Green,realme,128,"14,999",10602,12
530,SAMSUNG M06 5G,Midnight,SIA,128,"33,999",33975,27
531,Redmi 14C 5G,White,IQOO,128,"49,900",49885,13
532,Redmi 14C 5G,Red,IQOO,128,"31,999",31975,10
533,Redmi 14C 5G,Green,REDMI,128,"31,999",31975,27
534,Redmi 14C 5G,White,oneplus,64,"35,999",35975,12
535,Redmi 14C 5G,Pink,Realme,128,"33,999",33975,22
536,Iqoo Neo 10R 5G,Blue,Realme,256,"35,999",35975,11
537,Apple IPHONE 8 PLUS,Pink,Realme,64,"1,49,000",148985,8
538,Iqoo Neo 10R 5G,Midnight,realme,128,"1,29,000",128985,12
539,Iqoo Neo 10R 5G,Red,realme,128,"79,900",79885,22
540,Iqoo Neo 10R 5G,Pink,realme,256,"59,900",59885,12
541,Iqoo Neo 10R 5G,White Titanium,IQOO,256,"69,900",69885,13
542,Iqoo Neo 10R 5G,Natural Titanium,IQOO,256,"89,900",89885,12
543,Apple IPHONE 14 PRO,Blue Titanium,IQOO,512,"59,900",59885,14
544,Apple IPHONE 14 PRO,Black Titanium,IQOO,256,"89,900",89885,12
545,Apple IPhone 14,Gold,SAMSUNG,128,"59,900",59885,28
546,Apple Iphone 13,Gold,Lava,128,"89,900",89885,27
547,Apple Iphone 13,Silver,Lava,256,"69,900",69885,27
548,Apple Iphone 13,Purple,Redmi,512,"69,900",69885,28
549,Apple Iphone 13,Awesome Iceblue,REDMI,128,"69,900",69885,27
550,Apple Iphone 13,Starlight,REDMI,512,"89,900",89885,27
551,Apple Iphone 13,MIdnight,SAMSUNG,128,"89,900",89885,27
552,Apple Iphone 13,Yellow,SAMSUNG,512,"89,900",89885,5
553,Apple Iphone 13,Pink,Redmi,256,"69,900",69885,11
554,Apple Iphone 13,Pink,Redmi,256,"69,900",69885,5
555,Apple Iphone 13,Green,Redmi,256,"59,900",59885,17
556,Apple Iphone 13,MIdnight,Redmi,512,"59,900",59885,9
557,Apple Iphone 13,MIdnight,Redmi,512,"1,34,900",134885,28
558,Apple Iphone 13,Green,Iqoo,512,"1,34,900",134885,13
559,Apple Iphone 13,Pink,Apple,256,"1,34,900",134885,22
560,Apple Iphone 13,Yellow,Iqoo,256,"1,34,900",134885,8
561,Apple Iphone 13,Green,Iqoo,128,"1,34,900",134885,23
562,Apple Iphone 13,Starlight,Iqoo,128,"1,44,900",144885,21
563,Apple Iphone 15 Pro,Starlight,Iqoo,128,"1,34,900",134885,4
564,Apple Iphone 15 Pro,Yellow,Iqoo,128,"1,34,900",134885,6
565,Apple Iphone 15 Pro,Black,Apple,128,"45,999",45984,21
566,Apple Iphone 15 Pro,Speed Black,Apple,128,"79,900",79885,15
567,Apple IPHONE 14 PRO MAX,Speed Black,Apple,128,"79,900",79885,18
568,Apple IPHONE 14 PRO MAX,Red,Apple,256,"89,900",89885,12
569,Apple IPHONE 14 PRO MAX,Purple,Apple,128,"79,900",79885,32
570,Apple IPHONE 14 PRO MAX,Starlight,Apple,128,"1,09,000",108985,22
571,SAMSUNG Galaxy A55 5G,Purple,Apple,256,"79,900",79885,19
572,Apple Iphone 15,Red,Apple,128,"89,900",89885,11
573,Apple Iphone 15,Midnight,Apple,128,"1,09,000",108985,22
574,Apple Iphone 15,Red,Apple,256,"89,900",89885,13
575,Apple Iphone 15,Blue,Apple,128,"89,900",89885,24
576,Apple Iphone 15,Midnight,Apple,512,"1,09,000",108985,12
577,Apple Iphone 15,Dark Chrome,Apple,128,"1,09,000",108985,12
578,Apple Iphone 15,Onyx Black,Apple,256,"1,09,000",108985,10
579,Apple Iphone 15,Stargaze Black,Apple,512,"89,900",89885,25
580,Apple Iphone 15,Beach Gold,Apple,256,"79,900",79885,20
581,Apple Iphone 15,Orchid Pink,Apple,256,"11,499",11484,25
582,Apple Iphone 15,Blazing Black,Apple,512,"15,999",15984,18
583,Apple Iphone 15,Sparkle Purple,Apple,512,"17,999",17984,19
584,Apple Iphone 15,Starry Black,Apple,512,"89,900",89885,22
585,Apple Iphone 15,Titanium,Apple,256,"99,900",99885,22
586,Apple 15,Ultramarine,Apple,128,"89,900",89885,23
587,SAMSUNG Galaxy A06,Nebula Noir,Apple,64,"89,900",89885,25
588,realme Narzo 50,Black Diamond,Apple,64,"89,900",89885,15
589,realme Narzo 50,Hawaiian Blue,Apple,128,"99,900",99885,20
590,Apple IPhone 14,stellar gold /steller gold,Apple,256,"99,900",99885,16
591,Apple IPhone 14,stellar blue/ steller blue,Apple,512,"99,900",99885,4
592,Apple IPhone 14,Cyber Green,Apple,256,"89,900",89885,4
593,Apple IPhone 14,Cyber Green,SAMSUNG,256,"24,999",24984,19
594,Apple IPhone 14,Titanium Blue,Apple,128,"1,799",934,43
595,Apple IPhone 14,Titanium Blue,Apple,512,"14,999",11875,12
596,Apple IPhone 14,Midnight Blue,Apple,512,"14,999",10824,4
597,Apple IPhone 14,Blue,Apple,256,"10,999",8284,22
598,Apple IPhone 14,Golden,Apple,256,"17,999",13180,13
599,OnePlus Nord CE4,Gold,Apple,128,"15,499",11175,20
600,,Midnight Blue,Apple,,"10,999",8784,4
601,Realme Narzo 80 Lite 5G,Speed Blue,Apple,128,"10,999",8784,56
602,Redmi 14C 5G,Speed Blue,Apple,128,"17,499",14604,53
603,realme Narzo 80 Lite 4G,Dynamic Grey,Apple,128,"17,499",14604,48
604,REDMI 13 5G,Ice Silver,Apple,128,"44,999",37984,20
605,SAMSUNG M06 5G,Purple,Apple,128,"17,999",12984,27
606,REDMI A4,Carbon Black,Apple,64,"17,999",13180,24
607,Redmi A4,Marine Drift,Apple,64,"10,999",9085,26
608,IQOO Z10X 5G,Sparkle Red,Apple,128,"1,899",924,27
609,IQOO Z10X 5G,Astral Trail,SAMSUNG,128,"10,999",8617,20
610,ONEPLUS 13R 5G,Nebula Noir,realme,256,"14,999",12601,20
611,redmi 13 5G,Cool Blue,realme,128,"13,999",11602,16
612,redmi 13 5G,Obsidian Black,Apple,128,"14,999",12601,16
613,Lava Shark 5G,Majestic Green,Apple,64,"13,999",11602,15
614,,Neon Cyan,Apple,,"18,999",9620,27
615,Lava Shark 5G,Geek Black,Apple,64,"9,999",5785,26
616,IQOO Z10 Lite 5G,Awesome Iceblue,Apple,128,"9,999",5685,17
617,IQOO Z10 Lite 5G,Pulse Green,Apple,128,"2,099",1253,51
618,IQOO Z10 Lite 5G,3) (White,Apple,128,"2,099",1282,21
619,IQOO Z10 Lite 5G,Nitro Blue,Apple,128,"18,999",10484,15
620,HMD Crest 5G,Sea Blue,Apple,128,"17,999",17984,17
621,ringme BOLD P70,Beach Gold,OnePlus,128,"15,999",15984,15
622,ringme BOLD P70,Charcoal Black,,128,"21,999",18999,17
623,SIA PRO 5+ Golden smallest Phone,Frost,,64,"17,999",12393,49
624,,Black,Micromax,,"9,999",6999,42
625,,Master Grey,Realme,,"17,999",14999,43
626,hmd Crest 5G,Sapphire Black,Redmi,128,"19,999",17999,40
627,realme Narzo 50,Misty Lavender,realme,128,"9,999",6999,38
628,realme Narzo 50,Charcoal Black,REDMI,64,"44,999",39027,44
629,Tecno Pova 7 Pro 5G,Light Green,SAMSUNG,128,"44,999",39830,4
630,POCO M6 Plus 5G,PANTONE Bronze Green,REDMI,128,"9,999",8299,4
631,Ai+ Pulse,Black,Redmi,128,"10,999",9699,40
632,POCO M7 Plus 5G,Mint Breeze,IQOO,128,"11,999",8999,13
633,Infinix Note 50s 5G+,Orchid Purple,IQOO,128,"21,999",18999,28
634,Ai+ Pulse,Hot Pink,ONEPLUS,128,"21,999",18999,8
635,OnePlus 13R 5g,Sparkle Red,redmi,256,"45,999",29630,7
636,OnePlus 13R 5G,Pebble Grey,redmi,256,"24,999",19499,23
637,POCO C71,Pink,Lava,128,"94,999",89999,24
638,realme C71,Master Gold,Micromax,128,"16,999",13199,16
639,vivo Y19e,Phoenix Gold,Lava,64,"8,999",8530,16
640,Tecno Pova 7 Pro 5G,Ink Black,IQOO,128,"10,999",8965,16
641,Tecno Pova 7 Pro 5G,Moonlight Silver,IQOO,128,"54,999",47688,16
642,Samsung Galaxy A55 5G,Titanium Silver,IQOO,256,"79,999",74999,3
643,Infinix GT 30 5G+ Pulse Green 128,Master Gold,IQOO,128,"26,499",20474,7
644,Nothing Phone,Pebble Grey,HMD,512,"48,999",44999,33
645,realme Narzo 90x 5G,Aqua Blue,ringme,128,"17,999",14890,12
646,realme C71,Carbon Black,ringme,64,"17,999",12499,18
647,realme Narzo 80 Lite 4G,Orchid Purple,SIA,128,"59,999",52898,25
648,OnePlus 15R 5G,Indigo,,256,"30,999",21800,17
649,Google Pixel 10,Lit Violet,,256,"34,999",29999,15
650,Samsung Galaxy A17 5G,Aquamarine,Micromax,256,"22,999",16999,31
651,realme 16 Pro+ 5G,Sea Blue,Micromax,256,"59,999",52841,21
652,Samsung Galaxy M17 5G,Deadpool,hmd,128,"36,999",33999,19
653,POCO M6 Plus 5G,Jaisalmer Gold,realme,128,"27,999",20999,22
654,OnePlus 15R 5G,IceSense Blue,realme,512,"12,999",9499,14
655,Samsung M56 5G,Phoenix Gold,Tecno,128,"36,999",33999,12
656,MOTOROLA Edge 70,Navy,POCO,256,"9,999",6999,21
657,Samsung Galaxy F36 5G,IceSense Blue,Ai,128,"48,999",44999,9
658,OnePlus 15R 5G,IceSense Black,POCO,512,"40,999",35999,10
659,realme 16 Pro 5G,Lemongrass,Infinix,256,"8,499",6699,26
660,Motorola Edge 50 Fusion,Turquoise Green,Ai,256,"17,999",14699,31
661,Ai+ Nova 5G,Moonlight Silver,OnePlus,128,"11,999",8999,31
662,realme 16 Pro 5G,Sapphire Black,OnePlus,256,"43,999",39999,12
663,Ai+ Pulse,Phantom Black,POCO,128,"39,999",36999,14
664,realme 16 Pro+ 5G,Midnight Shadow,realme,256,"17,999",14999,11
665,vivo T4 Ultra 5G,IceSense Black,vivo,256,"21,999",11399,38
666,Tecno Spark Go 2,Racing Yellow,Tecno,64,"39,999",36999,10
667,Samsung Galaxy M17 5G,Phoenix Gold,Tecno,128,"79,999",74999,10
668,vivo Y19e,Azure Sky,Samsung,64,"13,999",9999,7
669,realme 16 Pro+ 5G,PANTONE Spring Bud,Infinix,128,"24,999",22650,7
670,realme 16 Pro 5G,Icesense Black,Nothing,256,"10,999",9699,13
671,POCO M7 Plus 5G,Sapphire Black,realme,128,"37,999",23999,28
672,Acer Super ZX 5G,Mint Breeze,realme,128,"9,999",7999,10
673,realme 16 Pro 5G,Yellow,realme,256,"46,999",41999,5
674,Google Pixel 10,Forest Blue,OnePlus,256,"42,999",37999,9
675,Samsung Galaxy F06 5G,Cool Blue,Google,128,"99,999",74999,9
676,IQOO Z10R 5G,Master Grey,Samsung,256,"42,999",37999,4
677,realme C71,Pearl White,realme,128,"46,999",41999,10
678,POCO F6 5G,Aquamarine,Samsung,256,"79,999",74999,37
679,REDMI A5,Aurora Cloud,POCO,128,"11,999",10999,12
680,realme GT 7T,Geek Black,OnePlus,512,"16,499",13531,7
681,vivo T4 Ultra 5G,Icesense Blue,Samsung,256,"16,499",13588,28
682,Samsung Galaxy S25 Plus 5G,Awesome Olive,MOTOROLA,256,"37,999",33999,49
683,realme GT 7T,Power Black,Samsung,256,"11,999",9999,26
684,realme GT 7T,Icesense Black,OnePlus,512,"42,999",37999,11
685,Google Pixel 10,Icesense Blue,realme,256,"42,999",37999,11
686,Tecno Spark Go 5G,Hawaiian Blue,Motorola,128,"44,999",39999,10
687,Samsung Galaxy M17 5G,Titanium Chrome,Ai,128,"11,999",9999,10
688,Samsung Galaxy M17 5G,Violet,realme,128,"54,999",49999,9
689,POCO F7 5G,Frost White,Ai,512,"45,999",34999,26
690,Tecno Spark 30C 5G,Azure Sky,realme,64,"19,499",16990,20
691,realme GT 7T,Aurora Cloud,vivo,256,"54,999",49129,23
692,realme GT 7T,Titanium Chrome,Tecno,256,"33,999",24999,10
693,vivo T4 Ultra 5G,Cobalt Violet,Samsung,512,"27,999",20999,10
694,Tecno Spark 30C 5G,Onyx Black,vivo,64,"8,999",7299,24
695,MOTOROLA Razr 60,Stargaze Black,realme,256,"45,999",41999,10
696,realme Gt 7,Beach Gold,realme,256,"39,999",30999,10
697,Samsung Galaxy M17 5G,Orchid Pink,POCO,128,"26,999",24899,14
698,OnePlus 15R 5G,Blazing Black,Acer,256,"14,999",12999,6
699,POCO X7 Pro 5G,Sparkle Purple,realme,256,"23,999",19999,10
700,Motorola Edge 50 Fusion,Starry Black,Google,256,"52,999",41999,19
701,POCO C71,Titanium,Samsung,64,"52,999",40249,14
702,realme 16 Pro+ 5G,Ultramarine,IQOO,256,"14,499",11999,21
703,realme 14 Pro+ 5G,Nebula Noir,realme,512,"52,999",41999,10
704,IQOO Z10R 5G,Black Diamond,POCO,256,"48,999",37999,15
705,Tecno Spark 30C 5G,Hawaiian Blue,REDMI,128,"19,999",13800,23
706,Tecno Pova 7 Pro 5G,stellar gold /steller gold,realme,256,"38,999",37695,19
707,realme Gt 7,stellar blue/ steller blue,vivo,512,"22,999",16999,5
708,Samsung Galaxy A56 5G,Cyber Green,Samsung,256,"35,999",31999,16
